Name,Base_rate,Banner_transfer,Soft_pity,Soft_rate,Hard_pity,Cost_per_pull
Arknights,0.02,No,50,0.02,99,3.3
Arknights: Endfield,0.008,Yes,65,0.05,80,1.81
Azur Lane,0.012,No,0,0,200,2
Blue Archive,0.03,No,0,0,200,2.5
Fate/Grand Order,0.01,No,0,0,330,2.7
Genshin Impact,0.006,Yes,74,0.06,90,2.64
Goddess of Victory: Nikke,0.04,Yes,0,0,200,4.53
Granblue Fantasy,0.03,No,0,0,300,2
HATSUNE MIKU: COLORFUL STAGE,0.03,No,0,0,200,2.7
Honkai Impact 3rd,0.015,Yes,0,0,90,4.6
Honkai: Star Rail,0.006,Yes,74,0.06,90,2.64
Infinity Nikki,0.015,No,0,0,220,1.85
Love and Deepspace,0.01,Yes,61,0.1,70,3.3
Neverness to Everness,0.01,Yes,70,0.1959,90,2.66
Onmyoji,0.0125,No,0,0,60,2.22
Punishing: Gray Raven,0.015,Yes,80,1.5,100,4.2
Reverse: 1999,0.015,Yes,60,0.025,70,2.97
Uma Musume: Pretty Derby,0.03,No,0,0,200,2.1
Wuthering Waves,0.008,Yes,66,0.06,80,2.66
Zenless Zone Zero,0.006,Yes,74,0.06,90,2.64
